,mean
train,3.940388768898488
peris,3.9408207343412527
scope,3.9408207343412527
trins,3.9408207343412527
terms,3.9408207343412527
peons,3.941684665226782
sored,3.941684665226782
ploat,3.941684665226782
prase,3.941684665226782
rotis,3.9421166306695463
ariot,3.9421166306695463
snort,3.9421166306695463
diels,3.942548596112311
sloan,3.942548596112311
tolar,3.942548596112311
neist,3.942548596112311
crone,3.942548596112311
carns,3.942548596112311
onces,3.942548596112311
cores,3.9429805615550757
taros,3.9429805615550757
pries,3.9429805615550757
reans,3.9429805615550757
celts,3.9429805615550757
trine,3.9429805615550757
porns,3.9429805615550757
stoep,3.94341252699784
sault,3.94341252699784
corse,3.9438444924406046
plate,3.9438444924406046
smalt,3.9438444924406046
loast,3.9438444924406046
stare,3.9438444924406046
salep,3.9442764578833693
blest,3.9442764578833693
leans,3.9442764578833693
peart,3.9442764578833693
canst,3.9442764578833693
teins,3.9442764578833693
ondes,3.9442764578833693
rotls,3.9442764578833693
serac,3.9442764578833693
spite,3.9442764578833693
trope,3.944708423326134
petos,3.944708423326134
artel,3.944708423326134
plots,3.944708423326134
piets,3.944708423326134
carls,3.9451403887688983
leapt,3.9451403887688983
potes,3.9451403887688983
trape,3.9451403887688983
roins,3.9451403887688983
clops,3.9451403887688983
scorn,3.9451403887688983
poets,3.945572354211663
roset,3.945572354211663
spect,3.945572354211663
doest,3.945572354211663
prone,3.945572354211663
trems,3.945572354211663
tiars,3.945572354211663
dotes,3.945572354211663
colas,3.9460043196544277
nodes,3.9460043196544277
earst,3.9460043196544277
tonal,3.9460043196544277
salon,3.9464362850971924
tiers,3.9464362850971924
piles,3.9464362850971924
notes,3.9464362850971924
telos,3.9464362850971924
pelts,3.9464362850971924
piers,3.9468682505399566
drats,3.9468682505399566
alert,3.9468682505399566
truce,3.9473002159827213
dores,3.9473002159827213
lites,3.9473002159827213
prate,3.9473002159827213
elint,3.9473002159827213
tepas,3.9473002159827213
clits,3.9473002159827213
calos,3.9473002159827213
dents,3.947732181425486
cotan,3.947732181425486
cotes,3.947732181425486
trial,3.9481641468682507
toles,3.9481641468682507
elans,3.9481641468682507
delts,3.9481641468682507
crips,3.948596112311015
rains,3.948596112311015
slope,3.948596112311015
deals,3.948596112311015
rodes,3.9490280777537796
tomes,3.9490280777537796
talon,3.9490280777537796
print,3.9490280777537796
those,3.9490280777537796
dopes,3.9494600431965443
percs,3.9494600431965443
shent,3.9494600431965443
snare,3.9494600431965443
teads,3.9494600431965443
recit,3.949892008639309
meals,3.949892008639309
tines,3.949892008639309
arcos,3.949892008639309
poles,3.949892008639309
reaps,3.949892008639309
cires,3.949892008639309
cries,3.949892008639309
curst,3.9503239740820733
proas,3.9503239740820733
plues,3.9503239740820733
rants,3.9503239740820733
sacre,3.9503239740820733
pents,3.9503239740820733
cater,3.950755939524838
tripe,3.950755939524838
lines,3.950755939524838
scare,3.950755939524838
crias,3.950755939524838
coals,3.950755939524838
talcs,3.950755939524838
perls,3.950755939524838
slipt,3.950755939524838
stile,3.9511879049676026
seton,3.9511879049676026
crins,3.9511879049676026
sepal,3.9511879049676026
scote,3.9516198704103673
splat,3.9516198704103673
socle,3.9516198704103673
cirls,3.9516198704103673
piert,3.9516198704103673
sceat,3.9516198704103673
morts,3.9520518358531316
rosit,3.9520518358531316
shote,3.9520518358531316
spilt,3.9520518358531316
smelt,3.9520518358531316
plait,3.9524838012958963
setal,3.9524838012958963
troad,3.9524838012958963
enols,3.9524838012958963
onset,3.9524838012958963
tires,3.9524838012958963
crisp,3.9524838012958963
carle,3.952915766738661
trues,3.952915766738661
retin,3.952915766738661
slipe,3.952915766738661
shale,3.952915766738661
dorts,3.952915766738661
blast,3.952915766738661
trode,3.952915766738661
spiel,3.952915766738661
arnis,3.952915766738661
earnt,3.952915766738661
prent,3.9533477321814257
cento,3.9533477321814257
coapt,3.9533477321814257
raits,3.9533477321814257
pleas,3.95377969762419
tolan,3.95377969762419
rapes,3.95377969762419
pears,3.95377969762419
riant,3.95377969762419
scrae,3.95377969762419
strae,3.9542116630669546
spate,3.9542116630669546
toper,3.9542116630669546
trild,3.9542116630669546
ranis,3.9542116630669546
learn,3.9542116630669546
trade,3.9546436285097193
beast,3.9546436285097193
trads,3.9546436285097193
